Plate,Sample,sample_group,Antibiotic,Lineage,replicate,timepoint,max_conc_tested,mic,censored
Plate1,T2,T-lines,TOB,ancestor,1,16h,256,0.125,FALSE
Plate1,T2,T-lines,TOB,ancestor,1,24h,256,0.125,FALSE
Plate1,T2,T-lines,TOB,ancestor,1,48h,256,0.38,FALSE
Plate1,T2,T-lines,TOB,ancestor,2,16h,256,0.125,FALSE
Plate1,T2,T-lines,TOB,ancestor,2,24h,256,0.38,FALSE
Plate1,T2,T-lines,TOB,ancestor,2,48h,256,0.38,FALSE
Plate1,T2,T-lines,TOB,ancestor,3,16h,256,0.125,FALSE
Plate1,T2,T-lines,TOB,ancestor,3,24h,256,0.38,FALSE
Plate1,T2,T-lines,TOB,ancestor,3,48h,256,0.38,FALSE
Plate1,T2,T-lines,TOB,evolved,1,16h,256,0.016,FALSE
Plate1,T2,T-lines,TOB,evolved,1,24h,256,0.38,FALSE
Plate1,T2,T-lines,TOB,evolved,1,48h,256,3,FALSE
Plate1,T2,T-lines,TOB,evolved,2,16h,256,0.016,FALSE
Plate1,T2,T-lines,TOB,evolved,2,24h,256,0.047,FALSE
Plate1,T2,T-lines,TOB,evolved,2,48h,256,3,FALSE
Plate1,T2,T-lines,TOB,evolved,3,16h,256,0.016,FALSE
Plate1,T2,T-lines,TOB,evolved,3,24h,256,0.047,FALSE
Plate1,T2,T-lines,TOB,evolved,3,48h,256,3,FALSE
Plate2,T3,T-lines,TOB,ancestor,1,16h,256,0.125,FALSE
Plate2,T3,T-lines,TOB,ancestor,1,24h,256,0.38,FALSE
Plate2,T3,T-lines,TOB,ancestor,1,48h,256,0.38,FALSE
Plate2,T3,T-lines,TOB,ancestor,2,16h,256,0.125,FALSE
Plate2,T3,T-lines,TOB,ancestor,2,24h,256,0.38,FALSE
Plate2,T3,T-lines,TOB,ancestor,2,48h,256,0.38,FALSE
Plate2,T3,T-lines,TOB,ancestor,3,16h,256,0.38,FALSE
Plate2,T3,T-lines,TOB,ancestor,3,24h,256,0.38,FALSE
Plate2,T3,T-lines,TOB,ancestor,3,48h,256,0.38,FALSE
Plate2,T3,T-lines,TOB,evolved,1,16h,256,0.016,FALSE
Plate2,T3,T-lines,TOB,evolved,1,24h,256,0.016,FALSE
Plate2,T3,T-lines,TOB,evolved,1,48h,256,1,FALSE
Plate2,T3,T-lines,TOB,evolved,2,16h,256,0.016,FALSE
Plate2,T3,T-lines,TOB,evolved,2,24h,256,0.016,FALSE
Plate2,T3,T-lines,TOB,evolved,2,48h,256,1,FALSE
Plate2,T3,T-lines,TOB,evolved,3,16h,256,0.016,FALSE
Plate2,T3,T-lines,TOB,evolved,3,24h,256,0.016,FALSE
Plate2,T3,T-lines,TOB,evolved,3,48h,256,1,FALSE
